//X Y Z R G B
60800
0.14288870 0.13210465 2.98855591 144 145 144
0.14504044 0.12921785 2.92324877 145 145 145
0.14851032 0.12766677 2.88815951 132 132 132
0.15189770 0.12615232 2.85389876 131 131 131
0.15614162 0.12542523 2.83745003 128 128 128
0.16125381 0.12541963 2.83732319 129 129 128
0.16636555 0.12541403 2.83719659 128 128 128
0.17147684 0.12540844 2.83706999 128 128 128
0.17658885 0.12540367 2.83696222 127 127 127
0.18170393 0.12540130 2.83690858 127 127 127
0.18681855 0.12539876 2.83685088 127 127 127
0.19193323 0.12539639 2.83679724 126 126 126
0.19704773 0.12539402 2.83674359 126 126 126
0.20216201 0.12539163 2.83668971 125 125 125
0.20727584 0.12538908 2.83663225 125 125 125
0.21238974 0.12538671 2.83657861 124 124 124
0.21750344 0.12538433 2.83652472 124 124 124
0.22261666 0.12538180 2.83646727 123 123 123
0.22772998 0.12537943 2.83641362 122 122 122
0.23284307 0.12537704 2.83635974 122 122 122
0.23795569 0.12537450 2.83630228 129 129 129
0.12773168 0.13294522 2.88962793 154 154 154
0.12981261 0.12981261 2.82153916 131 131 131
0.13333967 0.12830800 2.78883553 129 129 129
0.13725755 0.12727517 2.76638675 133 133 132
0.14164829 0.12673794 2.75470972 131 131 130
0.14600681 0.12620927 2.74321890 134 134 134
0.15048559 0.12581582 2.73466706 133 133 132
0.15507127 0.12553388 2.72853899 131 131 130
0.15999582 0.12553519 2.72856736 131 131 131
0.16492049 0.12553650 2.72859573 131 131 131
0.16984525 0.12553780 2.72862411 131 131 130
0.17477015 0.12553911 2.72865272 130 130 130
0.17969511 0.12554042 2.72868109 129 129 129
0.18462019 0.12554173 2.72870946 127 127 127
0.18954536 0.12554303 2.72873783 126 126 126
0.19447064 0.12554434 2.72876620 126 126 125
0.19939601 0.12554564 2.72879457 126 126 125
0.20432150 0.12554695 2.72882295 126 126 126
0.20924708 0.12554826 2.72885132 126 126 126
0.21417272 0.12554953 2.72887897 125 125 125
0.21909888 0.12555104 2.72891188 124 124 124
0.22402513 0.12555255 2.72894454 123 123 123
0.22895151 0.12555405 2.72897744 121 121 121
0.23387802 0.12555557 2.72901034 120 120 120
0.23880465 0.12555708 2.72904325 119 119 119
0.24414936 0.12577391 2.73375607 117 117 117
0.25143027 0.12695985 2.75953293 141 141 141
0.12233587 0.13232248 2.76756048 129 129 128
0.12664610 0.13161261 2.75271344 131 131 130
0.13091032 0.13091032 2.73802495 127 127 127
0.13512926 0.13021547 2.72349191 126 126 126
0.13941437 0.12963091 2.71126556 113 113 113
0.14210995 0.12765808 2.67000341 109 109 108
0.14546965 0.12639166 2.64351606 120 120 119
0.14873792 0.12512873 2.61710143 123 123 123
0.15185073 0.12381675 2.58966088 124 124 124
0.15489911 0.12253213 2.56279278 127 127 127
0.15911035 0.12221520 2.55616403 126 126 126
0.16371906 0.12221281 2.55611420 127 127 127
0.16832757 0.12221044 2.55606437 127 127 127
0.17293634 0.12220835 2.55602074 126 126 126
0.17754415 0.12220571 2.55596566 125 125 125
0.18215212 0.12220332 2.55591559 125 125 125
0.18675992 0.12220094 2.55586576 126 126 126
0.19136709 0.12219826 2.55580974 126 126 126
0.19597451 0.12219588 2.55575991 125 125 125
0.20058177 0.12219349 2.55571008 125 125 125
0.20518884 0.12219111 2.55566025 125 125 125
0.20979574 0.12218873 2.55561042 126 126 126
0.21440245 0.12218635 2.55556059 125 125 125
0.21900900 0.12218396 2.55551076 125 125 125
0.22361481 0.12218128 2.55545473 125 125 125
0.22822097 0.12217890 2.55540490 124 124 124
0.23282695 0.12217652 2.55535507 124 124 124
0.23743276 0.12217414 2.55530524 115 115 115
0.24203838 0.12217175 2.55525541 113 113 113
0.12212742 0.13708180 2.76284480 126 126 126
0.12643145 0.13634765 2.74804807 128 128 127
0.12507187 0.12979156 2.61591196 125 125 125
0.12843131 0.12843131 2.58849645 125 125 125
0.13172120 0.12709941 2.56165242 128 128 128
0.13494341 0.12579471 2.53535652 129 129 129
0.13810013 0.12451651 2.50959492 130 130 130
0.14119352 0.12326419 2.48435473 130 130 130
0.14422514 0.12203665 2.45961404 131 131 131
0.14719713 0.12083347 2.43536425 130 130 130
0.15011093 0.11965363 2.41158509 130 130 130
0.15296838 0.11849663 2.38826585 130 130 130
0.15577127 0.11736191 2.36539602 129 129 129
0.15877464 0.11643474 2.34670901 128 128 128
0.16300571 0.11643265 2.34666705 127 127 127
0.16723664 0.11643057 2.34662509 128 128 128
0.17146741 0.11642849 2.34658313 127 127 127
0.17569843 0.11642667 2.34654641 127 127 127
0.17992888 0.11642458 2.34650421 127 127 127
0.18415922 0.11642249 2.34646225 126 126 126
0.18838939 0.11642041 2.34642029 126 126 126
0.19261985 0.11641859 2.34638357 125 125 125
0.19684973 0.11641651 2.34634161 125 125 125
0.20107946 0.11641442 2.34629965 125 125 125
0.20530902 0.11641233 2.34625745 124 124 124
0.20953892 0.11641051 2.34622073 125 125 125
0.21376820 0.11640842 2.34617877 124 124 124
0.21799734 0.11640634 2.34613681 124 124 124
0.22222632 0.11640427 2.34609485 123 123 123
0.22645566 0.11640244 2.34605813 123 123 123
0.23068424 0.11640030 2.34601498 122 122 122
0.23491277 0.11639822 2.34597301 122 122 122
0.23914061 0.11639588 2.34592581 121 121 121
0.24336882 0.11639378 2.34588361 135 135 135
0.24759689 0.11639170 2.34584165 149 149 149
0.12191968 0.14182493 2.75814509 122 122 122
0.12621754 0.14106667 2.74339867 122 122 122
0.12392753 0.13328056 2.59197807 123 123 123
0.12601461 0.13059695 2.53978848 125 125 125
0.12801929 0.12801929 2.48965931 127 127 127
0.12994634 0.12554137 2.44147015 129 129 129
0.13294658 0.12422878 2.41594315 130 130 129
0.13591456 0.12297031 2.39146924 130 130 130
0.13882299 0.12173709 2.36748600 132 132 132
0.14167368 0.12052836 2.34397912 133 133 133
0.14446838 0.11934345 2.32093573 135 135 135
0.14720862 0.11818156 2.29833984 136 136 136
0.14989598 0.11704207 2.27617955 136 136 136
0.15298802 0.11627089 2.26118207 136 136 135
0.15621006 0.11563602 2.24883533 136 136 135
0.15939707 0.11500801 2.23662210 134 134 133
0.16339885 0.11498438 2.23616242 134 134 133
0.16743445 0.11498511 2.23617673 133 133 132
0.17147021 0.11498591 2.23619223 133 133 132
0.17550634 0.11498691 2.23621178 133 133 132
0.17954308 0.11498826 2.23623800 132 132 131
0.18357980 0.11498955 2.23626304 132 132 131
0.18761663 0.11499084 2.23628807 132 132 131
0.19165364 0.11499219 2.23631430 131 131 130
0.19569065 0.11499347 2.23633933 131 131 130
0.19972785 0.11499482 2.23636556 130 130 129
0.20376503 0.11499611 2.23639059 130 130 129
0.20780241 0.11499745 2.23641682 130 130 129
0.21183980 0.11499874 2.23644185 129 129 128
0.21587737 0.11500009 2.23646808 129 129 128
0.21991491 0.11500138 2.23649311 128 128 127
0.22395268 0.11500273 2.23651934 127 127 126
0.22799043 0.11500403 2.23654461 126 126 125
0.23202839 0.11500537 2.23657084 126 126 125
0.23606631 0.11500666 2.23659587 124 124 124
0.24010445 0.11500801 2.23662210 124 124 123
0.24414255 0.11500930 2.23664713 123 123 122
0.24818087 0.11501065 2.23667336 124 124 124
0.25399467 0.11582157 2.25244379 150 150 150
0.11737463 0.14734262 2.76831651 124 124 124
0.12171264 0.14655195 2.75346136 116 116 116
0.12603754 0.14580813 2.73948622 116 116 115
0.12316779 0.13711131 2.57608771 120 120 120
0.12525752 0.13436715 2.52452970 122 122 122
0.12726524 0.13173069 2.47499514 124 124 124
0.12919569 0.12919569 2.42736673 125 125 125
0.13105325 0.12675641 2.38153696 127 127 126
0.13284196 0.12440755 2.33740568 129 129 129
0.13456558 0.12214414 2.29488015 130 130 130
0.13707142 0.12070468 2.26783514 132 132 132
0.14039002 0.12004365 2.25541544 135 135 135
0.14367251 0.11938983 2.24313140 136 136 136
0.14691943 0.11874310 2.23098040 136 136 136
0.15013137 0.11810335 2.21896052 137 137 136
0.15330888 0.11747045 2.20706940 137 137 136
0.15645249 0.11684426 2.19530439 135 135 135
0.15956280 0.11622475 2.18366480 134 134 134
0.16324987 0.11604509 2.18028927 134 134 134
0.16718471 0.11604586 2.18030381 133 133 133
0.17111954 0.11604659 2.18031740 133 133 133
0.17505442 0.11604731 2.18033099 133 133 133
0.17898943 0.11604809 2.18034577 132 132 132
0.18292440 0.11604882 2.18035936 132 132 132
0.18685943 0.11604954 2.18037295 131 131 131
0.19079460 0.11605033 2.18038774 132 132 131
0.19472973 0.11605105 2.18040133 132 132 131
0.19866519 0.11605194 2.18041801 131 131 130
0.20260145 0.11605326 2.18044281 131 131 130
0.20653772 0.11605453 2.18046665 130 130 130
0.21047419 0.11605586 2.18049169 130 130 129
0.21441063 0.11605713 2.18051553 130 130 129
0.21834725 0.11605845 2.18054032 129 129 128
0.22228387 0.11605972 2.18056417 128 128 127
0.22622070 0.11606105 2.18058920 127 127 126
0.23015745 0.11606231 2.18061280 127 127 126
0.23409446 0.11606364 2.18063784 126 126 125
0.23803142 0.11606491 2.18066168 125 125 125
0.24196860 0.11606624 2.18068671 124 124 123
0.24590571 0.11606750 2.18071032 124 124 123
0.24984308 0.11606883 2.18073535 123 123 123
0.25640416 0.11727011 2.20330548 112 112 112
0.26443765 0.11909787 2.23764586 116 116 116
0.11717459 0.15207766 2.76359844 109 109 109
0.12154018 0.15130512 2.74955988 110 110 110
0.12023845 0.14381461 2.61344004 110 110 110
0.12241731 0.14089540 2.56039119 115 115 115
0.12450950 0.13809235 2.50945354 117 117 117
0.12652005 0.13539866 2.46050286 119 119 119
0.12845367 0.13280803 2.41342545 121 121 121
0.13031469 0.13031469 2.36811566 124 124 124
0.13208351 0.12789038 2.32406044 126 126 126
0.13375919 0.12552786 2.28112793 128 128 128
0.13556045 0.12342071 2.24283624 130 130 130
0.13775556 0.12178389 2.21309161 133 133 132
0.14099821 0.12113931 2.20137811 134 134 133
0.14420673 0.12050152 2.18978786 136 136 135
0.14737944 0.11986861 2.17828655 137 137 136
0.15051350 0.11923797 2.16682625 138 138 137
0.15361471 0.11861389 2.15548539 137 137 137
0.15668365 0.11799634 2.14426303 137 137 137
0.15972082 0.11738519 2.13315701 135 135 135
0.16310820 0.11705412 2.12714076 134 134 134
0.16694707 0.11705483 2.12715387 134 134 134
0.17078596 0.11705555 2.12716675 134 134 134
0.17462501 0.11705632 2.12718081 133 133 133
0.17846400 0.11705703 2.12719369 133 133 133
0.18230304 0.11705774 2.12720656 133 133 133
0.18614222 0.11705851 2.12722063 132 132 132
0.18998136 0.11705922 2.12723351 132 132 132
0.19382057 0.11705994 2.12724662 132 132 132
0.19765989 0.11706071 2.12726068 131 131 131
0.20149918 0.11706142 2.12727356 131 131 131
0.20533849 0.11706213 2.12728643 130 130 130
0.20917787 0.11706284 2.12729931 130 130 130
0.21301740 0.11706361 2.12731338 129 129 129
0.21685688 0.11706433 2.12732649 129 129 129
0.22069664 0.11706518 2.12734175 129 129 129
0.22453724 0.11706642 2.12736440 128 128 128
0.22837801 0.11706772 2.12738800 128 128 128
0.23221877 0.11706897 2.12741065 127 127 127
0.23605974 0.11707028 2.12743449 127 127 126
0.23990066 0.11707152 2.12745714 125 125 125
0.24374178 0.11707283 2.12748075 125 125 125
0.24758287 0.11707407 2.12750340 124 124 124
0.25142419 0.11707538 2.12752724 123 123 123
0.25877026 0.11868411 2.15676141 110 110 110
0.26657197 0.12045104 2.18887067 92 92 92
0.11700964 0.15684271 2.75970817 101 101 101
0.12140733 0.15609513 2.74655437 103 103 103
0.11949524 0.14761177 2.59728622 107 107 106
0.12167591 0.14463364 2.54488468 110 110 110
0.12377033 0.14177330 2.49455595 113 113 113
0.12578353 0.13902390 2.44617939 115 115 115
0.12768656 0.13634329 2.39901280 117 117 117
0.12949905 0.13374493 2.35329366 120 120 120
0.13124375 0.13124375 2.30928469 123 123 123
0.13294554 0.12885490 2.26725197 125 125 125
0.13481495 0.12676629 2.23050189 129 129 129
0.13662474 0.12474432 2.19492459 130 130 130
0.13840216 0.12280755 2.16084647 132 132 132
0.14156532 0.12217282 2.14967799 134 134 134
0.14469600 0.12154464 2.13862491 136 136 136
0.14779460 0.12092286 2.12768459 138 138 138
0.15086167 0.12030741 2.11685538 139 139 139
0.15389769 0.11969820 2.10613608 137 137 137
0.15690312 0.11909514 2.09552503 136 137 136
0.15987173 0.11849316 2.08493304 135 135 135
0.16297321 0.11801509 2.07652116 135 135 135
0.16672072 0.11801580 2.07653356 134 134 134
0.17046836 0.11801655 2.07654691 134 134 134
0.17421593 0.11801724 2.07655907 134 134 134
0.17796357 0.11801795 2.07657146 134 134 134
0.18171135 0.11801871 2.07658482 133 133 133
0.18545908 0.11801941 2.07659721 133 133 133
0.18920685 0.11802012 2.07660961 133 133 133
0.19295476 0.11802088 2.07662296 132 132 132
0.19670261 0.11802156 2.07663512 132 132 132
0.20045052 0.11802227 2.07664752 131 131 131
0.20419848 0.11802298 2.07665992 131 131 131
0.20794658 0.11802373 2.07667327 131 131 131
0.21169463 0.11802444 2.07668567 130 130 130
0.21544272 0.11802515 2.07669806 130 130 130
0.21919096 0.11802590 2.07671142 129 129 129
0.22293912 0.11802659 2.07672358 129 129 129
0.22668734 0.11802730 2.07673597 128 129 128
0.23043573 0.11802806 2.07674932 127 128 127
0.23418404 0.11802876 2.07676172 127 128 127
0.23793241 0.11802947 2.07677412 126 127 126
0.24168094 0.11803023 2.07678747 126 126 126
0.24543051 0.11803147 2.07680941 125 125 125
0.24918015 0.11803270 2.07683110 125 125 125
0.25381282 0.11844598 2.08410287 122 122 122
0.26103878 0.12003972 2.11214542 106 106 106
0.26861554 0.12174661 2.14217877 88 88 88
0.11695229 0.16174254 2.75835562 99 99 99
0.12135447 0.16098042 2.74535847 99 99 98
0.11876119 0.15136230 2.58133125 102 102 102
0.12094345 0.14832687 2.52956510 104 104 104
0.12299657 0.14535959 2.47896099 108 108 108
0.12496057 0.14249890 2.43017483 110 110 110
0.12684876 0.13974863 2.38327193 113 113 113
0.12866545 0.13710253 2.33814526 116 116 116
0.13041463 0.13455477 2.29469585 120 120 120
0.13220650 0.13220650 2.25464845 123 123 123
0.13407761 0.13007529 2.21830273 125 125 124
0.13588934 0.12801169 2.18311024 128 128 128
0.13764448 0.12601255 2.14901686 131 131 131
0.13934565 0.12407489 2.11597204 132 132 132
0.14210644 0.12315892 2.10035110 134 134 134
0.14516290 0.12254010 2.08979774 134 134 134
0.14818877 0.12192748 2.07934999 137 137 137
0.15118454 0.12132093 2.06900597 137 137 137
0.15415069 0.12072042 2.05876493 137 137 137
0.15723221 0.12023640 2.05051041 139 139 138
0.16067190 0.12004223 2.04719901 137 137 137
0.16422731 0.11994129 2.04547763 138 138 138
0.16792119 0.11994371 2.04551888 139 139 138
0.17161523 0.11994613 2.04556012 139 139 139
0.17530939 0.11994853 2.04560113 138 138 138
0.17900373 0.11995095 2.04564238 138 138 138
0.18269819 0.11995336 2.04568338 138 138 138
0.18639281 0.11995577 2.04572463 138 138 138
0.19008757 0.11995818 2.04576564 137 137 136
0.19378251 0.11996060 2.04580688 137 137 136
0.19747758 0.11996301 2.04584813 136 136 135
0.20117278 0.11996542 2.04588914 136 136 135
0.20486815 0.11996784 2.04593039 136 136 135
0.20856366 0.11997025 2.04597139 134 134 133
0.21225932 0.11997266 2.04601264 133 133 133
0.21595514 0.11997508 2.04605389 133 133 132
0.21965112 0.11997750 2.04609513 132 132 131
0.22334720 0.11997990 2.04613614 132 132 132
0.22704346 0.11998232 2.04617739 131 131 131
0.23073989 0.11998474 2.04621863 132 132 132
