//X Y Z R G B
94448
-0.47562659 0.11480641 2.59722424 155 155 155
-0.47053674 0.11470796 2.59499693 155 155 155
-0.46545565 0.11460968 2.59277368 155 155 155
-0.46038327 0.11451158 2.59055424 155 155 155
-0.45531955 0.11441363 2.58833838 155 155 155
-0.45026445 0.11431585 2.58612633 155 155 155
-0.44521806 0.11421825 2.58391833 154 154 154
-0.44018024 0.11412080 2.58171391 142 142 142
-0.43515101 0.11402353 2.57951331 142 142 142
-0.43013033 0.11392641 2.57731628 142 142 142
-0.42511770 0.11382933 2.57511997 142 142 142
-0.42011410 0.11373255 2.57293057 141 141 141
-0.41511905 0.11363594 2.57074499 141 141 141
-0.41013244 0.11353949 2.56856298 141 141 141
-0.40515426 0.11344320 2.56638455 142 142 142
-0.40018442 0.11334704 2.56420922 141 141 141
-0.39522603 0.11325190 2.56205702 141 141 141
-0.39027643 0.11315707 2.55991173 141 141 141
-0.38533461 0.11306226 2.55776668 141 141 141
-0.38040110 0.11296760 2.55562544 140 140 140
-0.37547585 0.11287311 2.55348778 140 140 140
-0.37055880 0.11277877 2.55135345 140 140 140
-0.36565000 0.11268459 2.54922295 128 128 128
-0.36074933 0.11259056 2.54709578 127 127 127
-0.35585693 0.11249670 2.54497242 127 127 127
-0.35097259 0.11240299 2.54285240 128 128 128
-0.34609643 0.11230943 2.54073596 127 127 127
-0.34122837 0.11221604 2.53862309 127 127 126
-0.33636838 0.11212279 2.53651357 127 127 126
-0.33151644 0.11202970 2.53440762 127 127 127
-0.32667261 0.11193677 2.53230524 127 127 127
-0.32233503 0.11201714 2.53412342 128 128 128
-0.31808501 0.11213069 2.53669214 128 128 128
-0.31382614 0.11224439 2.53926444 128 128 128
-0.30955884 0.11235840 2.54184365 128 128 128
-0.30528286 0.11247263 2.54442787 129 129 129
-0.30099797 0.11258703 2.54701591 129 129 129
-0.29670456 0.11270174 2.54961085 129 129 129
-0.29240239 0.11281668 2.55221105 128 128 128
-0.28809127 0.11293178 2.55481505 129 129 129
-0.28377149 0.11304718 2.55742574 141 141 141
-0.27944291 0.11316282 2.56004190 141 141 141
-0.27510527 0.11327863 2.56266189 142 142 142
-0.27075890 0.11339475 2.56528878 142 142 142
-0.26640365 0.11351112 2.56792116 142 142 142
-0.26203924 0.11362763 2.57055712 142 142 142
-0.25766605 0.11374447 2.57320023 143 143 143
-0.25328386 0.11386155 2.57584882 155 155 155
-0.24889246 0.11397879 2.57850122 155 155 155
-0.24449219 0.11409635 2.58116078 155 155 155
-0.24008282 0.11421416 2.58382583 154 154 154
-0.23566419 0.11433213 2.58649468 155 155 155
-0.54376864 0.11603431 2.52206135 141 141 141
-0.53876925 0.11593769 2.51996112 141 141 140
-0.53377753 0.11584108 2.51786137 128 128 127
-0.52879745 0.11574537 2.51578093 126 126 126
-0.52382672 0.11565006 2.51370931 126 126 126
-0.51886415 0.11555490 2.51164103 126 126 126
-0.51401991 0.11548465 2.51011419 126 126 126
-0.50939775 0.11546349 2.50965405 125 125 125
-0.50477725 0.11544233 2.50919414 125 125 125
-0.50015837 0.11542117 2.50873423 125 125 125
-0.49554130 0.11540003 2.50827479 124 124 124
-0.49092582 0.11537888 2.50781512 123 123 123
-0.48631209 0.11535776 2.50735593 122 122 122
-0.48170003 0.11533663 2.50689673 122 122 122
-0.47708967 0.11531551 2.50643778 122 122 122
-0.47248101 0.11529440 2.50597906 122 122 122
-0.46787399 0.11527330 2.50552034 121 121 121
-0.46326870 0.11525221 2.50506186 121 121 121
-0.45866504 0.11523112 2.50460339 121 121 121
-0.45406306 0.11521003 2.50414515 121 121 121
-0.44946286 0.11518897 2.50368738 119 119 119
-0.44486424 0.11516790 2.50322938 119 119 119
-0.44026738 0.11514685 2.50277185 118 118 118
-0.43567216 0.11512580 2.50231433 118 118 118
-0.43107861 0.11510476 2.50185704 117 117 117
-0.42648679 0.11508373 2.50139999 116 116 116
-0.42189661 0.11506271 2.50094295 116 116 115
-0.41730809 0.11504169 2.50048614 115 115 115
-0.41272128 0.11502068 2.50002956 114 114 114
-0.40813616 0.11499969 2.49957323 118 118 118
-0.40355262 0.11497869 2.49911666 118 118 118
-0.39897084 0.11495770 2.49866056 117 117 117
-0.39439070 0.11493672 2.49820447 117 117 117
-0.38981369 0.11491617 2.49775791 116 116 116
-0.38523999 0.11489614 2.49732256 116 116 116
-0.38066792 0.11487612 2.49688745 115 115 115
-0.37609744 0.11485610 2.49645233 115 115 115
-0.37152854 0.11483610 2.49601746 114 114 114
-0.36696121 0.11481609 2.49558258 113 113 113
-0.36239555 0.11479610 2.49514818 113 113 113
-0.35783139 0.11477610 2.49471354 112 112 112
-0.35326886 0.11475613 2.49427938 112 112 112
-0.34870791 0.11473615 2.49384522 112 112 112
-0.34414855 0.11471618 2.49341106 112 112 112
-0.33959079 0.11469623 2.49297738 112 112 112
-0.33503458 0.11467627 2.49254346 112 112 112
-0.33047998 0.11465632 2.49211001 112 112 112
-0.32595959 0.11464786 2.49192595 111 111 111
-0.32148930 0.11465703 2.49212527 113 113 113
-0.31701833 0.11466621 2.49232483 113 113 113
-0.31254664 0.11467539 2.49252439 114 114 114
-0.30807424 0.11468457 2.49272394 114 114 114
-0.30360109 0.11469374 2.49292326 114 114 114
-0.29912725 0.11470293 2.49312305 116 116 116
-0.29465270 0.11471213 2.49332285 117 117 117
-0.29017740 0.11472131 2.49352241 118 118 118
-0.28570139 0.11473048 2.49372196 119 119 118
-0.28122470 0.11473968 2.49392176 119 119 119
-0.27674729 0.11474887 2.49412155 118 118 118
-0.27226913 0.11475806 2.49432135 118 118 118
-0.26779026 0.11476725 2.49452114 119 119 119
-0.26331067 0.11477645 2.49472094 119 119 119
-0.25883037 0.11478564 2.49492073 120 120 120
-0.25434935 0.11479484 2.49512076 120 120 120
-0.24986763 0.11480404 2.49532080 121 121 121
-0.24538516 0.11481324 2.49552059 121 121 121
-0.24090201 0.11482245 2.49572086 120 120 120
-0.23641808 0.11483164 2.49592066 122 122 122
-0.23193349 0.11484086 2.49612093 122 122 122
-0.22744817 0.11485006 2.49632096 123 123 123
-0.22296210 0.11485926 2.49652100 123 123 122
-0.21858729 0.11492734 2.49800062 123 123 123
-0.21429424 0.11504217 2.50049663 124 124 124
-0.20999262 0.11515724 2.50299764 124 124 124
-0.20568235 0.11527252 2.50550342 125 125 125
-0.20136346 0.11538805 2.50801444 125 125 125
